time,thermofilter_temp_c
1692625457639, 100.25
1692625457739, 100.25
1692625457839, 100
1692625457939, 100
1692625458039, 100.25
1692625458139, 100.25
1692625458239, 100
1692625458339, 100.25
1692625458439, 100.25
1692625458539, 100
1692625458639, 100.25
1692625458739, 100.25
1692625458839, 100.25
1692625458939, 100.25
1692625459039, 100.25
1692625459139, 100.25
1692625459239, 100.5
1692625459339, 100.25
1692625459439, 100.25
1692625459539, 100.25
1692625459639, 100.25
1692625459739, 100.25
1692625459839, 100.25
1692625459939, 100.25
1692625460039, 100.25
1692625460139, 100.25
1692625460239, 100.25
1692625460339, 100.25
1692625460439, 100.25
1692625460539, 100.25
1692625460639, 100.25
1692625460739, 100.5
1692625460839, 100.5
1692625460940, 100.25
1692625461039, 100.25
1692625461139, 100.5
1692625461239, 100.5
1692625461339, 99
1692625461439, 100.5
1692625461539, 100.5
1692625461639, 100.25
1692625461739, 100.25
1692625461839, 100.25
1692625461939, 100.25
1692625462039, 100.5
1692625462139, 100.25
1692625462239, 100.5
1692625462339, 100.25
1692625462439, 100.5
1692625462540, 100.25
1692625462639, 100.5
1692625462739, 100.5
1692625462839, 100.5
1692625462939, 100.5
1692625463039, 100.5
1692625463139, 100.5
1692625463239, 100.5
1692625463339, 100.5
1692625463439, 100.5
1692625463539, 100.5
1692625463639, 100.5
1692625463739, 100.5
1692625463839, 100.5
1692625463939, 100.5
1692625464039, 100.5
1692625464139, 100.5
1692625464239, 100.25
1692625464339, 100.5
1692625464439, 100.5
1692625464539, 100.25
1692625464639, 100.5
1692625464739, 100.5
1692625464839, 100.5
1692625464939, 100.5
1692625465039, 100.5
1692625465139, 100.5
1692625465239, 100.5
1692625465339, 100.5
1692625465439, 100.5
1692625465539, 100.75
1692625465640, 100.5
1692625465739, 100.75
1692625465839, 100.75
1692625465939, 100.5
1692625466039, 100.5
1692625466139, 100.75
1692625466239, 100.5
1692625466339, 100.75
1692625466439, 100.75
1692625466539, 100.75
1692625466639, 100.5
1692625466739, 100.75
1692625466839, 100.5
1692625466939, 100.75
1692625467039, 100.75
1692625467139, 100.75
1692625467239, 100.75
1692625467339, 101
1692625467439, 101
1692625467539, 101
1692625467639, 100.5
1692625467739, 100.75
1692625467839, 100.75
1692625467939, 100.75
1692625468039, 101
1692625468139, 100.75
1692625468240, 100.75
1692625468339, 101
1692625468439, 100.75
1692625468539, 100.5
1692625468639, 100.75
1692625468739, 100.75
1692625468839, 100.5
1692625468939, 101
1692625469039, 100.75
1692625469139, 100.75
1692625469240, 100.75
1692625469339, 100.75
1692625469439, 100.75
1692625469539, 100.75
1692625469639, 100.75
1692625469739, 101
1692625469839, 101
1692625469940, 100.75
1692625470039, 100.75
1692625470139, 101
1692625470239, 100.75
1692625470339, 101
1692625470439, 101
1692625470539, 100.75
1692625470639, 101
1692625470739, 101
1692625470839, 101
1692625470939, 101
1692625471039, 101
1692625471139, 101
1692625471239, 101
1692625471339, 101
1692625471439, 101
1692625471539, 101
1692625471641, 101
1692625471739, 101
1692625471839, 100.75
1692625471939, 101
1692625472039, 101
1692625472139, 101
1692625472239, 101
1692625472339, 101
1692625472439, 101
1692625472539, 101
1692625472639, 101
1692625472739, 101
1692625472839, 100.75
1692625472939, 101
1692625473039, 101
1692625473139, 101
1692625473239, 101
1692625473339, 101.25
1692625473439, 101.25
1692625473539, 101
1692625473639, 101
1692625473739, 101.25
1692625473839, 101
1692625473939, 101
1692625474039, 101
1692625474139, 101
1692625474239, 91.75
1692625474339, 101.25
1692625474439, 101.25
1692625474539, 101.25
1692625474639, 99.75
1692625474739, 99.5
1692625474839, 99.25
1692625474939, 99.25
1692625475039, 99
1692625475139, 99
1692625475239, 99
1692625475339, 99
1692625475439, 99
1692625475539, 99
1692625475639, 98.5
1692625475739, 98.25
1692625475839, 98.25
1692625475939, 98.25
1692625476039, 98.25
1692625476139, 98.25
1692625476239, 98.25
1692625476339, 98.25
1692625476439, 98.25
1692625476539, 98.25
1692625476639, 98.5
1692625476739, 98.5
1692625476839, 98.5
1692625476939, 98.5
1692625477039, 98.5
1692625477139, 98.25
1692625477239, 98.5
1692625477339, 98.5
1692625477439, 98.5
1692625477539, 98.75
1692625477639, 98.75
1692625477739, 98.75
1692625477839, 98.75
1692625477939, 98.5
1692625478039, 98.75
1692625478139, 98.75
1692625478239, 98.5
1692625478341, 98.75
1692625478439, 98.75
1692625478539, 98.5
1692625478639, 98.75
1692625478739, 98.75
1692625478839, 98.75
1692625478939, 98.75
1692625479039, 98.5
1692625479139, 98.5
1692625479239, 98.75
