time,boiler_thermocouple,boiler_internal,grouphead_thermocouple,grouphead_internal,basket_thermocouple,basket_internal,is_heating
1687858958.133248118s,25.25,26.5,23.75,25.6875,24.75,25.8125,true
1687858958.284530683s,25.25,26.5,23.5,25.6875,24.75,25.75,true
1687858958.293108602s,25.25,26.5,23.5,25.6875,24.75,25.75,true
1687858958.300552531s,25.25,26.5,23.5,25.6875,24.75,25.75,true
1687858958.308402457s,25.25,26.5,23.5,25.6875,24.75,25.75,true
1687858958.316943376s,25.25,26.5,23.5,25.6875,24.75,25.75,true
1687858958.324670303s,25.25,26.5,23.5,25.6875,24.75,25.8125,true
1687858958.332513228s,25.25,26.5,23.5,25.6875,24.75,25.8125,true
1687858958.340258155s,25.25,26.5,23.5,25.6875,24.75,25.8125,true
1687858958.348904073s,25.25,26.5,21.5,25.6875,24.75,25.8125,true
1687858958.356430001s,25.25,26.5,21.5,25.6875,24.75,25.8125,true
1687858958.36496792s,25.25,26.5,21.5,25.6875,23.5,25.8125,true
1687858958.373079843s,25.25,26.5,21.5,25.6875,23.5,25.8125,true
1687858958.380709771s,25.25,26.5,21.5,25.6875,23.5,25.8125,true
1687858958.388328699s,25.25,26.5,21.5,25.6875,23.5,25.8125,true
1687858958.396858618s,25.25,26.5,21.5,25.6875,23.5,25.8125,true
1687858958.404411546s,25.25,26.5,21.5,25.6875,23.5,25.8125,true
1687858958.413011465s,25.25,26.5,21.5,25.6875,23.5,25.8125,true
1687858958.421433385s,25.25,26.5,25.25,25.6875,23.5,25.8125,true
1687858958.429053313s,25.25,26.5,25.25,25.6875,23.5,25.8125,true
1687858958.436597241s,25.25,26.5,25.25,25.6875,21.5,25.8125,true
1687858958.44513516s,25.25,26.5,25.25,25.6875,21.5,25.8125,true
1687858958.452732088s,25.25,26.5,25.25,25.6875,21.5,25.8125,true
1687858958.460347016s,25.25,26.5,25.25,25.6875,21.5,25.8125,true
1687858958.468997934s,25.25,26.5,25.25,25.6875,21.5,25.8125,true
1687858958.476495863s,25.25,26.5,25.25,25.6875,21.5,25.75,true
1687858958.485060782s,25.25,26.5,25.25,25.6875,21.5,25.75,true
1687858958.492497711s,25.25,26.5,25.25,25.6875,21.5,25.75,true
1687858958.500720633s,25.25,26.5,24.5,25.6875,21.5,25.75,true
1687858958.508358561s,25.25,26.5,24.5,25.6875,22,25.75,true
1687858958.517074478s,25.25,26.5,24.5,25.6875,22,25.75,true
1687858958.524615406s,25.25,26.5,24.5,25.6875,22,25.75,true
1687858958.533162325s,25.25,26.5,24.5,25.6875,22,25.75,true
1687858958.540739254s,25.25,26.5,24.5,25.6875,22,25.75,true
1687858958.548358181s,25.25,26.5,24.5,25.6875,22,25.8125,true
1687858958.5569101s,25.25,26.5,24.5,25.6875,22,25.8125,true
1687858958.565030023s,25.25,26.5,24.5,25.6875,22,25.8125,true
1687858958.572562952s,25.25,26.5,22,25.6875,22,25.8125,true
1687858958.580378878s,25.25,26.5,22,25.6875,23.75,25.8125,true
1687858958.589027796s,25.25,26.5,22,25.6875,23.75,25.8125,true
1687858958.596803722s,25.25,26.5,22,25.6875,23.75,25.8125,true
1687858958.604327651s,25.25,26.5,22,25.6875,23.75,25.8125,true
1687858958.61281957s,25.25,26.5,22,25.6875,23.75,25.8125,true
1687858958.620704495s,25.25,26.5,22,25.6875,23.75,25.75,true
1687858958.629125415s,25.25,26.5,22,25.6875,23.75,25.75,true
1687858958.636660344s,25.25,26.5,22,25.6875,23.75,25.75,true
1687858958.645209263s,25.25,26.5,24,25.6875,23.75,25.75,true
1687858958.652357195s,25.25,26.5,24,25.6875,23.75,25.75,true
1687858958.804965748s,25.5,26.5,23.25,25.75,24.75,25.75,true
1687858958.813729665s,25.5,26.5,23.25,25.75,24.75,25.75,true
1687858958.820238603s,25.25,26.5,23.25,25.75,24.75,25.75,true
1687858958.828816522s,25.25,26.5,23.25,25.75,24.75,25.75,true
1687858958.836881445s,25.25,26.5,23.25,25.6875,24.75,25.75,true
1687858958.844483373s,25.25,26.5,23.25,25.6875,24.75,25.75,true
1687858958.853016292s,25.25,26.5,23.25,25.6875,24.75,25.75,true
1687858958.86061422s,25.25,26.5,23.25,25.6875,24.75,25.75,true
1687858958.869205139s,25.25,26.5,22.75,25.6875,24.75,25.75,true
1687858958.876714067s,25.25,26.5,22.75,25.6875,24.75,25.75,true
1687858958.884818991s,25.25,26.5,22.75,25.6875,23.25,25.75,true
1687858958.892322919s,25.25,26.5,22.75,25.6875,23.25,25.75,true
1687858958.901061837s,25.25,26.5,22.75,25.6875,23.25,25.75,true
1687858958.908681764s,25.25,26.5,22.75,25.6875,23.25,25.75,true
1687858958.916881687s,25.25,26.5,22.75,25.6875,23.25,25.75,true
1687858958.924801611s,25.25,26.5,22.75,25.6875,23.25,25.8125,true
1687858958.933036533s,25.25,26.5,22.75,25.6875,23.25,25.8125,true
1687858958.940999458s,25.25,26.5,25.75,25.6875,23.25,25.8125,true
1687858958.948673385s,25.25,26.5,25.75,25.6875,23.25,25.8125,true
1687858958.956229313s,25.25,26.5,25.75,25.6875,20,25.8125,true
1687858958.964811232s,25.25,26.5,25.75,25.6875,20,25.8125,true
1687858958.973078154s,25.25,26.5,25.75,25.6875,20,25.8125,true
1687858958.980704081s,25.25,26.5,25.75,25.6875,20,25.8125,true
1687858958.988281009s,25.25,26.5,25.75,25.6875,20,25.8125,true
1687858958.996807929s,25.25,26.5,25.75,25.6875,20,25.75,true
1687858959.004772853s,25.25,26.5,25.75,25.6875,20,25.75,true
1687858959.012314782s,25.25,26.5,25.75,25.6875,20,25.75,true
1687858959.0209667s,25.25,26.5,23.25,25.6875,20,25.75,true
1687858959.028541628s,25.25,26.5,23.25,25.6875,22,25.75,true
1687858959.036320554s,25.25,26.5,23.25,25.6875,22,25.75,true
1687858959.044617475s,25.25,26.5,23.25,25.6875,22,25.75,true
1687858959.053148394s,25.25,26.5,23.25,25.6875,22,25.75,true
1687858959.060704323s,25.25,26.5,23.25,25.6875,22,25.75,true
1687858959.06834725s,25.25,26.5,23.25,25.6875,22,25.75,true
1687858959.076869169s,25.25,26.5,23.25,25.6875,22,25.75,true
1687858959.084436098s,25.25,26.5,23.25,25.6875,22,25.75,true
1687858959.093011016s,25.25,26.5,21.5,25.6875,22,25.75,true
1687858959.100653944s,25.25,26.5,21.5,25.6875,22,25.75,true
1687858959.108686868s,25.25,26.5,21.5,25.6875,20.5,25.75,true
1687858959.116397795s,25.25,26.5,21.5,25.6875,20.5,25.75,true
1687858959.124976713s,25.25,26.5,21.5,25.6875,20.5,25.75,true
1687858959.132502642s,25.25,26.5,21.5,25.75,20.5,25.75,true
1687858959.140313568s,25.25,26.5,21.5,25.75,20.5,25.75,true
1687858959.148831487s,25.25,26.5,21.5,25.75,20.5,25.75,true
