time,boiler_temp_c,grouphead_temp_c,heat_level
1692714212320,100.75,72.0,0.0
1692714212412,100.75,72.0,0.0
1692714212503,100.75,72.0,0.0
1692714212594,100.75,71.75,0.0
1692714212686,100.75,72.0,0.0
1692714212778,100.75,72.0,0.0
1692714212869,100.75,72.0,0.0
1692714212961,100.75,72.0,0.0
1692714213052,101.0,72.0,0.0
1692714213144,101.0,72.0,0.0
1692714213237,100.75,72.0,0.0
1692714213328,100.75,71.75,0.0
1692714213420,100.75,72.0,0.0
1692714213512,100.75,72.0,0.0
1692714213603,101.0,72.0,0.0
1692714213695,100.75,72.0,0.0
1692714213787,100.75,71.75,0.0
1692714213879,100.75,71.75,0.0
1692714213970,100.75,72.0,0.0
1692714214062,100.75,72.0,0.0
1692714214153,100.75,72.0,0.0
1692714214244,100.75,71.75,0.0
1692714214336,100.75,71.75,0.0
1692714214428,100.75,72.0,0.0
1692714214519,100.75,72.0,0.0
1692714214611,100.75,72.0,0.0
1692714214702,100.75,72.0,0.0
1692714214794,100.75,71.75,0.0
1692714214886,100.75,72.0,0.0
1692714214977,100.75,72.0,0.0
1692714215068,100.75,72.0,0.0
1692714215160,100.75,72.0,0.0
1692714215252,100.75,72.0,0.0
1692714215343,100.75,72.0,0.0
1692714215435,100.75,72.0,0.0
1692714215528,100.75,72.0,0.0
1692714215620,100.75,72.0,0.0
1692714215712,100.75,72.0,0.0
1692714215803,100.75,72.0,0.0
1692714215895,100.75,72.0,0.0
1692714215986,100.75,72.0,0.0
1692714216078,100.75,72.0,0.0
1692714216170,100.75,72.0,0.0
1692714216261,100.75,72.0,0.0
1692714216352,100.75,72.0,0.0
1692714216444,100.75,72.0,0.0
1692714216536,100.75,72.0,0.0
1692714216627,100.75,72.0,0.0
1692714216719,100.75,72.0,0.0
1692714216810,100.75,72.0,0.0
1692714216901,100.75,72.0,0.0
1692714216993,100.75,72.0,0.0
1692714217086,100.75,72.0,0.0
1692714217178,100.75,72.0,0.0
1692714217270,100.75,72.0,0.0
1692714217360,100.75,72.0,0.0
1692714217452,100.75,72.0,0.0
1692714217543,100.75,72.0,0.0
1692714217634,100.75,72.0,0.0
1692714217726,100.75,72.0,0.0
1692714217819,100.75,72.0,0.0
1692714217911,100.75,72.0,0.0
1692714218002,100.75,72.0,0.0
1692714218094,100.75,72.0,0.0
1692714218186,100.75,72.0,0.0
1692714218278,100.75,72.0,0.0
1692714218370,100.75,72.0,0.0
1692714218461,100.75,72.0,0.0
1692714218552,100.75,72.0,0.0
1692714218644,100.75,72.0,0.0
1692714218735,100.75,72.0,0.0
1692714218826,100.75,72.0,0.0
1692714218917,100.75,72.0,0.0
1692714219009,100.75,72.0,0.0
1692714219101,100.75,72.0,0.0
1692714219192,100.75,72.0,0.0
1692714219284,100.75,72.0,0.0
1692714219375,100.75,72.0,0.0
1692714219468,100.75,72.0,0.0
1692714219560,100.75,72.0,0.0
1692714219652,100.75,72.0,0.0
1692714219743,100.75,72.0,0.0
1692714219835,100.75,72.0,0.0
1692714219927,100.75,72.0,0.0
1692714220018,100.75,72.0,0.0
1692714220110,100.5,72.0,0.0
1692714220201,100.5,72.0,0.0
1692714220292,100.75,72.0,0.0
1692714220384,100.75,72.0,0.0
1692714220478,100.5,72.0,0.0
1692714220570,100.5,72.0,0.0
1692714220662,100.5,72.0,0.0
1692714220754,100.75,72.0,0.0
1692714220846,100.5,72.0,0.0
1692714220938,100.5,72.0,0.0
1692714221029,100.5,72.0,0.0
1692714221121,100.5,72.0,0.0
1692714221213,100.5,72.0,0.0
1692714221305,100.75,72.0,0.0
1692714221397,100.5,72.0,0.0
1692714221489,100.5,72.0,0.0
1692714221580,100.5,72.0,0.0
1692714221672,100.5,72.0,0.0
1692714221764,100.5,72.0,0.0
1692714221856,100.5,72.0,0.0
1692714221947,100.5,72.0,0.0
1692714222039,100.5,72.0,0.0
1692714222130,100.5,72.0,0.0
1692714222221,100.5,72.0,0.0
1692714222313,100.5,72.0,0.0
1692714222405,100.5,72.0,0.0
1692714222498,100.5,72.0,0.0
1692714222590,100.5,72.0,0.0
1692714222682,100.5,72.0,0.0
1692714222773,100.5,72.0,0.0
1692714222864,100.5,72.0,0.0
1692714222956,100.5,72.0,0.0
1692714223048,100.5,72.0,0.0
1692714223140,100.5,72.0,0.0
1692714223232,100.5,72.0,0.0
1692714223324,100.5,72.0,0.0
1692714223415,100.5,72.0,0.0
1692714223507,100.5,72.0,0.0
1692714223599,100.5,72.0,0.0
1692714223691,100.5,72.0,0.0
1692714223782,100.5,72.0,0.0
1692714223875,100.5,72.0,0.0
1692714223966,100.5,72.0,0.0
1692714224057,100.5,72.0,0.0
1692714224149,100.5,72.0,0.0
1692714224240,100.5,72.0,0.0
1692714224331,100.5,72.0,0.0
1692714224423,100.5,72.0,0.0
1692714224515,100.5,72.0,0.0
1692714224606,100.5,72.0,0.0
1692714224699,100.5,72.0,0.0
1692714224791,100.5,72.0,0.0
1692714224883,100.5,72.0,0.0
1692714224974,100.5,72.0,0.0
1692714225065,100.5,72.0,0.0
1692714225158,100.5,72.0,0.0
1692714225250,100.5,72.0,0.0
1692714225341,100.5,72.0,0.0
1692714225432,100.5,72.0,0.0
1692714225523,100.5,72.0,0.0
1692714225615,100.5,72.0,0.0
1692714225707,100.5,72.0,0.0
